chemical_name,protein_name
gold sodium thiomalate,M01CB01
ximelagatran,B01AE05
guanoxabenz,C02CC07
auranofin,M01CB03
bismuth subcitrate,A02BX05
tegaserod,A03AE02
ferrous fumarate,B03AA02 B03AD02
progabide,N03AG05
sulfasalazine,A07EC01
sulprostone,G02AD05
montelukast,R03DC03
iloprost,B01AC11
eptifibatide,B01AC16
acipimox,C10AD06
alcuronium,M03AA01
lornoxicam,M01AC05
diosmetin,
dacarbazine,L01AX04
4-methylumbelliferone,A05AX02
remikiren,C09XA01
tolcapone,N04BX01
hydroxocobalamin,B03BA03 V03AB33
rosuvastatin,C10AA07
ergometrine,G02AB03
misoprostol,A02BB01
adrafinil,N06BX17
thioguanine,
methimazole,H03BB02
benzylthiouracil,H03BA03
mercaptopurine,L01BB02
picotamide,B01AC03
propylthiouracil,H03BA02
deferiprone,V03AC02
ciclesonide,R03BA08
adenosylcobalamin,B03BA04
hydrocodone,R05DA03
lanreotide,H01CB03
melagatran,B01AE04
fondaparinux sodium,B01AX05
colesevelam hydrochloride,C10AC04
xamoterol,C01CX07
lumiracoxib,M01AH06
aprepitant,A04AD12
ezetimibe,C10AX09
eplerenone,C03DA04
SR 57746A,N07XX03
desloratadine,R06AX27
gefitinib,L01XE02
mometasone,D07AC13 D07XC03 R01AD09 R03BA07
etoricoxib,M01AH05
Ras,N04BD02
FP-CIT,V09AB03
valdecoxib,M01AH03
nitisinone,A16AX04
epomediol,A05BA05
tadalafil,G04BE08
beta-acetyldigoxin,C01AA02
bosentan,C02KX01
fotemustine,L01AD05
fulvestrant,L02BA03
tiazofurin,L01XX18
bortezomib,L01XX32
zofenopril,C09AA15
spirapril,C09AA11
roxatidine,A02BA06
moexipril,C09AA13
allopurinol,M04AA01
rosiglitazone,A10BG02
eletriptan,N02CC06
tritoqualine,R06AX21
terlipressin,H01BA04
niaprazine,N05CM16
LINK,A02AD03
carbetocin,H01BB03
UK-738,N04AC30
phenamine,
Triton WR-1339,R05CA01
dofetilide,C01BD04
nebivolol,C07AB12
ropivacaine,N01BB09
acamprosate,N07BB03
alphaxalone,N01AX05
cloricromene,B01AC02
brinzolamide,S01EC04
nomegestrol,G03DB04
budipine,N04BX03
talinolol,C07AB13
zoledronic acid,M05BA08
lacidipine,C08CA09
rilmenidine,C02AC06
atosiban,G02CX01
ibopamine,C01CA16 S01FB03
gallamine,M03AC02
moxestrol,G03CB04
cortivazol,H02AB17
telmisartan,C09CA07
mizolastine,R06AX25
Cardiovasc,C08CA13
reboxetine,N06AX18
milnacipran,N06AX17
etofibrate,C10AB09
erdosteine,R05CB15
capecitabine,L01BC06
eprosartan,C09CA02
levosimendan,C01CX08
olopatadine,R01AC08 S01GX09
ziprasidone,N05AE04
pemetrexed,L01BA04
tiotropium,R03BB04
remifentanil,N01AH06
aripiprazole,N05AX12
tenidap,M01AX23
mibefradil,C08CX01
acetorphan,A07XA04
exemestane,L02BG06
perindopril,C09AA04
adapalene,D10AD03
sertindole,N05AE03
tamsulosin,G04CA02
imiquimod,D06BB10
iopentol,V08AB08
acrivastine,R06AX18
quinagolide,G02CB04
dopexamine,C01CA14
deoxyspergualin,L04AA19
Linomide,L03AX02
cicletanine,C03BX03
atomoxetine,N06BA09
bambuterol,R03CC12
simvastatin,C10AA01
TOL,A10XA01
flupirtine,N02BG07
remoxipride,N05AL04
N-butyldeoxynojirimycin,A16AX06
miglitol,A10BF02
alfentanil,N01AH02
nedocromil sodium,R01AC07 R03BC03 S01GX04
pipecuronium,M03AC06
encainide,C01BC08
nicorandil,C01DX16
atracurium,M03AC04
indobufen,B01AC10
bopindolol,C07AA17
prenalterol,C01CA13
torasemide,C03CA04
acarbose,A10BF01
sufentanil,N01AH03
acitretin,D05BB02
Implanon,G03AC08
desogestrel,G03AC09
pinaverium bromide,A03AX04
benoxaprofen,M01AE06
5-methylpyrazinecarboxylic acid 4-oxide,
nabilone,A04AD11
bezafibrate,C10AB02
tienilic acid,C03CC02
tertatolol,C07AA16
dobutamine,C01CA07
promegestone,G03DB07
etomidate,N01AX07
toloxatone,N06AG03
oxcarbazepine,N03AF02
penfluridol,N05AG03
indoramin,C02CA02
polyinosinic-polycytidylic acid,L03AX07
ritodrine,G02CA01
metipranolol,S01ED04
fludrocortisone,H02AA02
lofexidine,N07BC04
dexrazoxane,V03AF02
mithramycin,L01DC02
methadol,
Fe(II)-EDTA,B03AB03
DDAVP,H01BA02
gestrinone,G03XA02
pizotifen,N02CX01
deflazacort,H02AB13
diacerein,M01AX21
azapropazone,M01AX04
rose bengal,
chloropyramine,D04AA09 R06AC03
molindone,N05AE02
trimethaphan,C02BA01
tiadenol,C10AX03
dimethindene,D04AA13 R06AB03
dexetimide,N04AA08
octyl methoxycinnamate,D02BA02
trimetazidine,C01EB15
iproclozide,N06AF06
estramustine,L01XX11
acadesine,C01EB13
flupenthixol,N05AF01
pimozide,N05AG02
amiloride,C03DB01
melperone,N05AD03
propanidid,N01AX04
phenazocine,N02AD02
canrenone,C03DA03
vinblastine,L01CA01
benzydamine,A01AD02 G02CC03 M01AX07 M02AA05
phenindamine,R06AX04
tromexan,B01AA08
chlormethiazole,N05CM02
sedormid,N05CM12
medroxyprogesterone,G03AC06 G03DA02 L02AB02
echothiophate,S01EB03
GHB,
mersalyl,C03BC01
dithranol,D05AC01
propoxyphene,N02AC04
MGB,L01XX16
phenprocoumon,B01AA04
19-nortestosterone,A14AB01 S01XA11
prenylamine,C01DX02
triflusal,B01AC18
paraoxon,S01EB10
acenocoumarol,B01AA07
methohexital,N01AF01 N05CA15
4-hydroxyanisole,D11AX06
betazole,V04CG02
Ronicol,C04AC02 C10AD05
benzoyl peroxide,D10AE01
synephrine,C01CA08 S01GA06
brompheniramine,R06AB06 R06AB01
warfarin,B01AA03
TCE,N01AB05
Tris buffer,B05BB03 B05XX02
chloroform,N01AB02
diiodotyrosine,H03BX01
dipalmitoylphosphatidylcholine,R07AA01
gold thioglucose,M01CB04
methoxamine,C01CA10
cysteamine,A16AA04
tetrabenazine,N05AK01
aminopyrine,
vincristine,L01CA02
chlorobutanol,A04AD04
diisopropylfluorophosphate,S01EB07
pentylenetetrazol,R07AB03
oxandrolone,A14AA08
lynestrenol,G03AC02 G03DC03
phentolamine,C04AB01 G04BE05
oxyphenonium,A03AB03
mitomycin C,L01DC03
zotepine,N05AX11
zonisamide,N03AX15
zomepirac,M01AB04
